,nHubs,resEnergy,type
0,2,78.6468969987053,ssaa
1,3,70.6193590449322,ssaa
2,4,62.1858972950682,ssaa
5,7,54.5810768103682,ssaa
6,8,53.6828551083382,ssaa
11,13,50.2510915336207,ssaa
14,16,47.1333741472315,ssaa
17,19,46.3738626007389,ssaa
18,20,46.2230128126202,ssaa
20,22,45.8965968361619,ssaa
21,23,45.4733772350299,ssaa
22,24,45.6081879114285,ssaa
27,29,45.2303532926433,ssaa
28,30,45.3955010319861,ssaa
36,38,46.053201107055,ssaa
37,39,45.9733968487214,ssaa
38,40,46.3215806127263,ssaa
39,41,46.3673205183788,ssaa
41,43,46.8885138952351,ssaa
42,44,47.0267456440343,ssaa
43,45,47.195463364204,ssaa
44,46,47.6415519017083,ssaa
45,47,47.7424330724579,ssaa
47,49,48.5012639097245,ssaa
48,50,48.6265225361086,ssaa
49,51,48.9641803245322,ssaa
50,52,49.3433053375201,ssaa
51,53,49.6296670753113,ssaa
52,54,49.871344315172,ssaa
54,56,50.5164161566071,ssaa
58,60,51.9470654088061,ssaa
59,61,52.3094126398747,ssaa
60,62,52.673782716749,ssaa
61,63,52.9507095541627,ssaa
63,65,53.6800656645886,ssaa
64,66,54.0277724298927,ssaa
65,67,54.408241724004,ssaa
66,68,54.8402742145075,ssaa
67,69,55.1326510063482,ssaa
69,71,55.881584182879,ssaa
71,73,56.7097366111643,ssaa
73,75,57.3672661167594,ssaa
75,77,58.1247538696693,ssaa
76,78,58.5413575412658,ssaa
77,79,58.9135525698132,ssaa
78,80,59.9644001572059,ssaa
79,81,59.6703604739509,ssaa
80,82,60.0203633057203,ssaa
81,83,60.4085998404757,ssaa
82,84,60.8262278083296,ssaa
85,87,61.9493735488081,ssaa
86,88,62.3438751015419,ssaa
87,89,62.7301312234947,ssaa
88,90,63.121781668594,ssaa
89,91,63.5109960433167,ssaa
92,94,65.7476866559673,ssaa
94,96,66.5977963309725,ssaa
95,97,67.1707429896219,ssaa
98,100,68.3118507036795,ssaa
99,101,68.7629949342024,ssaa
100,102,69.2653242100206,ssaa
103,105,70.4839465528534,ssaa
104,106,71.0099360982884,ssaa
105,107,71.3538777532325,ssaa
106,108,71.8044481215531,ssaa
107,109,72.2494140941339,ssaa
109,111,73.0984066325962,ssaa
110,112,73.5363833806315,ssaa
111,113,74.0035724212226,ssaa
112,114,74.444478646209,ssaa
114,116,75.4329782403079,ssaa
115,117,76.0383335132777,ssaa
116,118,76.2638764142709,ssaa
117,119,76.7248284409818,ssaa
118,120,77.4479295164772,ssaa
121,123,79.1369090228621,ssaa
122,124,79.504027555937,ssaa
123,125,79.9511948161976,ssaa
124,126,80.422352980713,ssaa
125,127,81.2116333610259,ssaa
127,129,81.9991714380985,ssaa
128,130,82.5987722523184,ssaa
129,131,83.1116307273975,ssaa
130,132,83.6728360979583,ssaa
131,133,84.4369088947168,ssaa
132,134,84.75085032882,ssaa
133,135,85.4488367584452,ssaa
